DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319069 11:11:09      234     384     244      33       9      46      70     419     656     320     116     132     175      18      145    262    407   384 1586    656 1902   1040   1

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319070 11:11:10       51      97      59     205     294      19      48       7      78     128       1      51      21      90      110     53    163   294 1596    128 1905    422   3
P3 1613319071 11:11:11       23      84      86      29      24      19      69      59      61      16      36       1      58     102       47     47     94    86 1590    102 1917    188   3
P3 1613319072 11:11:12     1165     333     311     711    8494   10009    3860    9376      50   12097    8780    2259     568   52032     3554  12166  15720 10009 1599  52032 1917  62041   3
P3 1613319073 11:11:13    14451    6882    3352    2294     991     272     183    1297    2578     360    1077      11     950    6512     4060   1826   5886 14451 1584   6512 1917  20963   1
P3 1613319074 11:11:14       56     446     100      91     628     511    1092     131     407     768     383     311     550    7916      417   1495   1912  1092 1602   7916 1917   9008   3
P3 1613319075 11:11:15      275     674     813    1280   24948   42161   23089      38     130      46     250     448    1181    1244    13320    476  13796 42161 1599   1244 1917  43405   3
P3 1613319076 11:11:16      216     302     101    1734    1249     626     944      94      21      15     300     349     931    5159      738    981   1719  1734 1592   5159 1917   6893   2
P3 1613319077 11:11:17      550     185     188      33      14     161     216      78     192     258      41      75     479      58      192    168    360   550 1584    479 1914   1029   3
P3 1613319078 11:11:18        8       4       7       9      34      46      19      37       2      19      48       9       2       1       18     16     34    46 1599     48 1908     94   4
P3 1613319079 11:11:19       38      39      14      57      54      24       0      16       4       6      12      51      20       6       32     16     48    57 1592     51 1911    108   3
P3 1613319080 11:11:20        8      11       2      12      22       4      59     131      24      31      63      48      18       3       16     45     61    59 1602    131 1898    190   3
P3 1613319081 11:11:21       26      71      14      27       2      13      28    4064    5899    7696   15907    2092   10433   54199       25  14327  14352    71 1586  54199 1917  54270   3
P3 1613319082 11:11:22     6364    6036    5798   13025   15740    6429    2096    1829     930     412     685    1230      25    1790     7926    985   8911 15740 1596   1829 1898  17569   2
P3 1613319083 11:11:23       12       7       2      12      63      71      22      51      40      30      15      11      38      12       27     28     55    71 1599     51 1898    122   3
P3 1613319084 11:11:24        6      35      37     140     654     758     580      42     135     421     658     545     868    1340      315    572    887   758 1599   1340 1917   2098   3
P3 1613319085 11:11:25       43      47     163     270     126     116      16      39     111      75      18      12       8      24      111     41    152   270 1592    111 1902    381   4
P3 1613319086 11:11:26       29     232     120     228      48      50       1      31       6      47      59     593    1225    1722      101    526    627   232 1586   1722 1917   1954   3
P3 1613319087 11:11:27       43      20      15       8     112     266     176     375     497     604     640     625     535    3072       91    906    997   266 1599   3072 1917   3338   3
P3 1613319088 11:11:28       25      19     157       1     114      57     100      15       8       7      38       4      30      85       67     26     93   157 1590     85 1917    242   3
P3 1613319089 11:11:29       46       3     101     107      17       9      30      12      31      17     124     206      44      63       44     71    115   107 1592    206 1911    313   3
P3 1613319090 11:11:30      342     204     200     322     128     122     136    1125    1136    1013    1238    1787    2437    6717      207   2207   2414   342 1584   6717 1917   7059   3
P3 1613319091 11:11:31      103      47      24      20      15       4       2      21     271     221       4      70      55     537       30    168    198   103 1584    537 1917    640   3
P3 1613319092 11:11:32       45      30      40      25      13      25      32      20       0      11      29      36      57      47       30     28     58    45 1584     57 1914    102   3
P3 1613319093 11:11:33        3      89      59      35      51      81      20      35       6       6      87     235     892    1366       48    375    423    89 1586   1366 1917   1455   3
P3 1613319094 11:11:34       52       0      39      18      34      29      41      85     295     230     132     176      38     119       30    153    183    52 1584    295 1902    347   1
P3 1613319095 11:11:35       48     120     177      61      57     112      16      39      83     142      61     223     374     140       84    151    235   177 1590    374 1914    551   3
P3 1613319096 11:11:36     1561    1404     374     244     188     136     729     159      82       9     176     742     280     451      662    271    933  1561 1584    742 1911   2303   1
P3 1613319097 11:11:37       99     241     143     143       4     120     133      97     377     257      73      14     100     480      126    199    325   241 1586    480 1917    721   2
P3 1613319098 11:11:38       57      82      45     133     252      65      67      54      35       7      35      43      12      21      100     29    129   252 1596     54 1898    306   4

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319099 11:11:39       17     213     103     246     409      30     191    2951     596     338     854    1014     292     997      172   1006   1178   409 1596   2951 1898   3360   2
P3 1613319100 11:11:40       17       4       7      60      98     110      47      54      57     171     134      75      54     171       49    102    151   110 1599    171 1905    281   4
P3 1613319101 11:11:41        5     218     323      59    1949    1896     546      78     157     329      17     195     123     466      713    195    908  1949 1596    466 1917   2415   3
P3 1613319102 11:11:42      138      57      47     219     189      89      26      21      77      58      38      13      95      83      109     55    164   219 1592     95 1914    314   1
P3 1613319103 11:11:43       63       0      19      31      63      95      39       2      39      45      48      95     272      44       44     77    121    95 1599    272 1914    367   2
P3 1613319104 11:11:44        0      51     104      61      63      62       8      31       2      40      25      57      68      18       49     34     83   104 1590     68 1914    172   3
